8;8;904313
18;2;874773
31;2;605036
1;8;622056
25;8;30884
4;8;628653
15;9;373588
20;9;24573
19;5;440565
4;1;533398
12;2;664643
6;12;826769
22;2;966243
19;4;200880
15;4;957163
16;2;882570
30;5;704481
13;6;704075
7;6;655260
31;10;291701
5;2;580565
14;12;456285
7;2;572217
7;10;74202
3;9;457217
4;6;596011
27;4;447729
28;10;803482
19;6;523272
25;12;618574
29;7;137707
22;6;587418
3;7;225083
27;4;831945
21;2;624893
1;6;631311
12;7;903686
22;9;193866
14;10;524502
15;4;202445
16;3;679569
16;10;425328
25;3;615918
24;10;335539
15;11;455342
5;9;784970
10;1;221854
28;9;695666
13;3;578730
16;1;455007
22;8;858320
18;10;652620
8;5;592636
26;4;328073
26;2;129455
21;3;51605
27;6;11160
30;10;84347
19;10;645316
1;5;30849
23;11;760192
29;9;773865
11;10;189498
5;4;643079
24;11;408099
2;9;213555
5;1;184625
22;11;66333
16;9;69323
6;7;944557
29;11;328047
28;10;426568
23;8;467706
6;12;736576
30;10;282004
26;9;261233
16;5;617992
23;2;367553
5;6;152243
8;2;486722
2;10;819678
9;7;900641
17;4;532217
4;2;300835
6;3;765137
3;3;255350
14;12;80636
28;8;323277
27;11;862828
21;9;848270
23;7;198515
24;1;962374
30;2;255894
2;10;345634
16;11;976600
12;3;489018
5;8;488861
24;11;523378
26;12;350351
2;8;204727
26;2;635181
8;12;596246
30;12;422333
6;6;915222
26;6;321770
2;8;599468
7;7;424613
30;3;455249
27;2;30496
4;8;614293
27;7;984920
19;10;112663
27;9;998479
23;7;837562
13;1;255514
29;2;309307
5;12;986703
7;12;528866
26;3;340579
4;10;50809
6;6;506373
22;10;981632
2;10;590572
1;8;606392
31;4;915324
20;6;39386
13;12;311631
27;3;176413
26;7;515072
31;12;149880
20;10;136930
23;11;163012
14;4;518475
14;4;465908
29;9;526687
18;12;387816
24;9;576654
11;12;900486
3;9;611886
17;7;372696
29;5;935400
9;6;367744
6;4;14595
18;11;965184
31;2;965943
7;9;944835
2;10;703701
18;5;99973
11;4;445155
17;7;453019
29;11;130681
11;4;127542
7;9;650597
12;11;564930
5;11;429992
1;10;890133
12;1;121868
24;2;933429
15;9;207186
15;6;445652
16;3;464394
24;8;13829
8;5;416926
31;10;661516
3;1;91968
17;1;127509
9;7;579568
28;1;547260
30;12;46226
1;10;362614
6;9;672083
30;6;917003
22;6;385512
22;1;294208
18;7;542189
21;12;436311
25;2;215200
17;10;270499
28;5;670663
30;4;267236
21;6;508504
9;12;738036
7;3;304756
12;1;460386
8;9;449655
21;1;866915
30;4;552033
31;6;722009
7;6;582480
12;4;394087
31;1;174650
27;5;541508
8;1;329880
4;11;16501
19;11;674011
25;7;964711
1;10;830089
